ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",URL,_was_shipping_method,_was_shipping_method_conditions,_priority,_dp_original,slide_template,_vc_post_settings,category_sticky_post,sbg_selected_sidebar,sbg_selected_sidebar_replacement,_um_custom_access_settings,_um_accessible,_um_access_redirect2,_um_access_roles,_um_access_redirect,yst_prominent_words_version,Status,Author,Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
18467,"zone1 (Владимир)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-vladimir/,,,,,,,"a:6:{s:14:""shipping_title"";s:45:""Владимирская обл, Россия"";s:13:""shipping_cost"";s:3:""520"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:34:""RU_Владимирская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:16:""Владимир"";}}}",1,,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-vladimir,,,0,0,0,open,open,2016-03-18
18468,"zone1 (Владимирская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-vladimirskaya-oblast-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:45:""Владимирская обл, Россия"";s:13:""shipping_cost"";s:3:""780"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:34:""RU_Владимирская обл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:16:""Владимир"";}}}",1,,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-vladimirskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18469,"zone1 (Иваново)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-ivanovo/,,,,,,,"a:6:{s:14:""shipping_title"";s:41:""Ивановская обл, Россия"";s:13:""shipping_cost"";s:3:""520"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:30:""RU_Ивановская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:14:""Иваново"";}}}",1,2707,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-ivanovo,,,0,0,0,open,open,2016-03-18
18470,"zone1 (Ивановская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-ivanovskaya-oblast-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:41:""Ивановская обл, Россия"";s:13:""shipping_cost"";s:3:""780"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:30:""RU_Ивановская обл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:14:""Иваново"";}}}",1,2784,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-ivanovskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18471,"zone1 (Калуга)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-kaluga/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Калужская обл, Россия"";s:13:""shipping_cost"";s:3:""520"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Калужская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:12:""Калуга"";}}}",1,2707,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-kaluga,,,0,0,0,open,open,2016-03-18
18472,"zone1 (Калужская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-kaluzhskaya-oblast-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:39:""Калужская обл, Россия"";s:13:""shipping_cost"";s:3:""780"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:28:""RU_Калужская обл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:12:""Калуга"";}}}",1,3009,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-kaluzhskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18473,"zone1 (Кострома)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-kostroma/,,,,,,,"a:6:{s:14:""shipping_title"";s:43:""Костромская обл, Россия"";s:13:""shipping_cost"";s:3:""520"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:32:""RU_Костромская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:16:""Кострома"";}}}",1,2707,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-kostroma,,,0,0,0,open,open,2016-03-18
18474,"zone1 (Костромская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-kostromskaya-oblast-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:43:""Костромская обл, Россия"";s:13:""shipping_cost"";s:3:""780"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:32:""RU_Костромская обл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:16:""Кострома"";}}}",1,2784,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-kostromskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18475,"zone1 (Нижний Новгород)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-nizhnij-novgorod/,,,,,,,"a:6:{s:14:""shipping_title"";s:47:""Нижегородская обл, Россия"";s:13:""shipping_cost"";s:3:""520"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:11:""not_taxable"";}","a:1:{i:1;a:3:{i:1998596183;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1626916821;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:36:""RU_Нижегородская обл"";}i:2033857824;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""=="";s:5:""value"";s:29:""Нижний Новгород"";}}}",1,3014,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-nizhnij-novgorod,,,0,0,0,open,open,2016-03-18
18476,"zone1 (Нижегородская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-nizhegorodskaya-oblast-rossiya/,,,,,,,"a:6:{s:14:""shipping_title"";s:47:""Нижегородская обл, Россия"";s:13:""shipping_cost"";s:3:""780"";s:12:""handling_fee"";s:0:"""";s:13:""cost_per_item"";s:0:"""";s:15:""cost_per_weight"";s:0:"""";s:3:""tax"";s:7:""taxable"";}","a:1:{i:1;a:3:{i:490500617;a:3:{s:9:""condition"";s:7:""country"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""RU"";}i:1783138048;a:3:{s:9:""condition"";s:5:""state"";s:8:""operator"";s:2:""=="";s:5:""value"";s:36:""RU_Нижегородская обл"";}i:488346167;a:3:{s:9:""condition"";s:4:""city"";s:8:""operator"";s:2:""!="";s:5:""value"";s:29:""Нижний Новгород"";}}}",1,3015,default,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,,,,publish,312,zone1-nizhegorodskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
