ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",URL,"Store Categories",c4p_log_redirect_to,wpsl_address,wpsl_city,wpsl_country,wpsl_lat,wpsl_lng,wpsl_country_iso,wpsl_phone,wpsl_email,wpsl_hours,_yoast_wpseo_title,_yoast_wpseo_metadesc,_wp_old_slug,wpsl_fax,_wpb_vc_js_status,_vc_post_settings,slide_template,_userpro_edit_restrict,restrict_roles,category_sticky_post,_um_custom_access_settings,_um_accessible,_um_access_redirect2,_um_access_roles,_um_access_redirect,_yoast_wpseo_primary_wpsl_store_category,sbg_selected_sidebar,sbg_selected_sidebar_replacement,_yoast_wpseo_content_score,_yoast_wpseo_focuskeywords,_yoast_wpseo_focuskw,wpsl_address2,_yoast_wpseo_linkdex,_yoast_wpseo_focuskw_text_input,yst_prominent_words_version,_yst_is_cornerstone,wpsl_ta_id,_dp_original,wpsl_url,_wpb_post_custom_css,wpsl_my_textinput,wpsl_my_checkbox,wpsl_my_textarea,wpsl_my_dropdown,wpsl_my_editor,wpsl_state,_et_monarch_override,_wp_trash_meta_status,_wp_trash_meta_time,_wp_desired_post_slug,Status,Author,Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
8405,"Пункт выдачи заказов на Флотской","<strong>Обязательно</strong> заранее позвоните по телефону <strong>+7(499)322-10-28</strong> для уточнения графика работы.

[us_gallery ids=""11971,11970,11969,11966,11967,11968,12042"" layout=""masonry"" columns=""7""]",,2015-10-08,wpsl_stores,https://euroroaming.ru/stores-by-operator/sim-karty-v-moskve-flotskaya/,https://euroroaming.ru/wp-content/uploads/2015/10/foto-3-crop.jpg|https://euroroaming.ru/wp-content/uploads/2015/10/marshrut-peshij-2.jpg|https://euroroaming.ru/wp-content/uploads/2015/10/marshrut-peshij.jpg|https://euroroaming.ru/wp-content/uploads/2015/10/marshrut-avto.jpg|https://euroroaming.ru/wp-content/uploads/2015/10/foto-3.jpg|https://euroroaming.ru/wp-content/uploads/2015/10/foto-2.jpg|https://euroroaming.ru/wp-content/uploads/2015/10/foto-1.jpg,"Евророуминг|Пеший маршрут вдоль дороги|Пеший маршрут через парк|Автомобильный маршрут|Проход к ресепшену|Место авто стоянки|Поворот с дороги",||||||,Евророуминг||||||,Евророуминг||||||,,GLOBALSIM|GLOBALSIM-Internet|Orange|Ortel,,"ст. м Речной вокзал, ул. Флотская д.5 к.2",Москва,Россия,55.85258,37.494671,RU,+7(499)322-10-28,info@euroroaming.ru,"a:7:{s:6:""monday"";a:0:{}s:7:""tuesday"";a:0:{}s:9:""wednesday"";a:0:{}s:8:""thursday"";a:0:{}s:6:""friday"";a:0:{}s:8:""saturday"";a:0:{}s:6:""sunday"";a:0:{}}","Сим-карты европейских операторов в Москве - Евророуминг","Офис самовывоза роуминговых сим-карт в Москве. Карты в наличии: GLOBALSIM, GLOBALSIM-Internet, Orange, Ortel, Vodafone. Уточнить наличие, адрес, время работы: +7(499)322-10-28",tsentralnyj-ofis|ofis,+7(499)322-10-28,true,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,none,,0,0,0,,"a:1:{i:0;s:1:""0"";}",,102,"a:1:{i:0;s:1:""0"";}","a:1:{i:0;s:15:""Default Sidebar"";}",60,[],Сим-карты,"(Только по предварительному звонку!)",33,Сим-карты,,,,,https://euroroaming.ru/,".single-wpsl_stores .l-section-h.i-cf > *:not(:first-child) {
    padding: 0 !important;
}

.l-section-h.i-cf > *:not(:nth-child(3)) {
    padding: 12px!important;
}
.single-wpsl_stores .l-content .w-blog {
    padding-top: 20%!important;
    padding-left: 0!important;
    padding-right: 0!important;
}
.single .l-content .wpsl-locations-details {
    margin-left: 12px!important;
}",,,,,,,,,,,publish,1,sim-karty-v-moskve-flotskaya,,,0,0,0,open,closed,2017-05-22
8648,"Пункт выдачи заказов на Каляева",,,2015-10-09,wpsl_stores,https://euroroaming.ru/stores-by-operator/sim-karty-v-penze/,https://euroroaming.ru/wp-content/uploads/2015/11/glavnyj-vhod-podnimites-na-3-ehtazh-tumb.jpg,"Европейские сим-карты в Пензе",,"Европейские сим-карты в Пензе","Европейские сим-карты в Пензе",,GLOBALSIM|Orange|Ortel|Vodafone,,"ул. Каляева 7В",Пенза,Россия,53.201732,45.026976,RU,8-800-555-2834,info@euroroaming.ru,"a:7:{s:6:""monday"";a:1:{i:0;s:11:""09:00,20:00"";}s:7:""tuesday"";a:1:{i:0;s:11:""09:00,20:00"";}s:9:""wednesday"";a:1:{i:0;s:11:""09:00,20:00"";}s:8:""thursday"";a:1:{i:0;s:11:""09:00,20:00"";}s:6:""friday"";a:1:{i:0;s:11:""09:00,20:00"";}s:8:""saturday"";a:0:{}s:6:""sunday"";a:0:{}}","Сим-карты европейских операторов в Пензе - Евророуминг","Офис самовывоза роуминговых сим-карт в Пензе. Карты в наличии: GLOBALSIM, GLOBALSIM-Internet, Orange, Ortel, Vodafone. Уточнить наличие, адрес, время работы: 8-800-555-2834",ofis-vydachi-sim-kart-v-penze|sim-karty-v-v-penze,"8-800-555-2834, +7(499)322-10-28",true,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,none,,0,,,,,,,"a:1:{i:0;s:1:""0"";}","a:1:{i:0;s:15:""Default Sidebar"";}",30,[],Сим-карты,"Сим-карты: GLOBALSIM, Orange, Ortel, Vodafone",22,Сим-карты,,,,,,,ert,1,ertert,option1,rdhfgh,,,,,,publish,1,sim-karty-v-penze,,,0,0,0,open,closed,2016-11-16
8650,"HEYDAY TOUR (ООО «Модерн»)","[us_gallery ids=""12166,12168"" layout=""masonry"" columns=""6""]",,2015-10-09,wpsl_stores,https://euroroaming.ru/stores-by-operator/sim-karty-v-irkutske/,https://euroroaming.ru/wp-content/uploads/2015/11/irkutsk-proletarskaya-5-cokolnyj-ehtazh-tumb.jpg,irkutsk-proletarskaya-5-cokolnyj-ehtazh-tumb,,,,,Orange,,"ул. Пролетарская, д.5",Иркутск,Россия,52.289682,104.28469,RU,"+739526-59-59-1, 89025159591",heydaytour@gmail.com,"a:7:{s:6:""monday"";a:1:{i:0;s:11:""10:00,18:00"";}s:7:""tuesday"";a:1:{i:0;s:11:""10:00,18:00"";}s:9:""wednesday"";a:1:{i:0;s:11:""10:00,18:00"";}s:8:""thursday"";a:1:{i:0;s:11:""10:00,18:00"";}s:6:""friday"";a:1:{i:0;s:11:""10:00,18:00"";}s:8:""saturday"";a:0:{}s:6:""sunday"";a:0:{}}","Сим-карты европейских операторов в Иркутске - Евророуминг","Офис самовывоза роуминговых сим-карт в Иркутске. Карты в наличии: Orange. Уточнить наличие, адрес, время работы: +739526-59-59-1, 89025159591",heyday-tour-ooo-modern,"8-800-555-2834, +7(499)322-10-28",false,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,none,,0,0,0,,"a:1:{i:0;s:1:""0"";}",,,"a:1:{i:0;s:1:""0"";}","a:1:{i:0;s:15:""Default Sidebar"";}",30,[],сим-карт,,38,сим-карт,,,3226,,,,,,,,,,,,,,publish,1,sim-karty-v-irkutske,,,0,0,0,open,closed,2017-05-23
8654,"ТА ""СКАЗКА СТРАНСТВИЙ"" (пункт выдачи заказов и продажа сим-карт)",,,2015-10-09,wpsl_stores,https://euroroaming.ru/stores-by-operator/ta-skazka-stranstvij/,,,,,,,GLOBALSIM,,"пр. Ленина, д.1 стр.1 (вход через Авиакассу)",Томск,Россия,56.456252,84.951825,RU,"418266, 423535",,"a:7:{s:6:""monday"";a:1:{i:0;s:11:""10:00,19:00"";}s:7:""tuesday"";a:1:{i:0;s:11:""10:00,19:00"";}s:9:""wednesday"";a:1:{i:0;s:11:""10:00,19:00"";}s:8:""thursday"";a:1:{i:0;s:11:""10:00,19:00"";}s:6:""friday"";a:1:{i:0;s:11:""10:00,19:00"";}s:8:""saturday"";a:0:{}s:6:""sunday"";a:0:{}}","Сим-карты европейских операторов в Томске - Евророуминг","Офис самовывоза роуминговых сим-карт в Томске. Карты в наличии: Orange, Ortel, Vodafone. Уточнить наличие, адрес, время работы: 7(3822)97-72-97, 7(3822)23-72-97",skazka-stranstvij-ip-gritsenko-i-a|sim-karty-v-tomske,"8-800-555-2834, +7(499)322-10-28",true,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,,,0,,,,,,102,,,30,[],Сим-карты,,13,Сим-карты,1,,1412,,http://skazka-stran.ru,,,,,,,,,,,,publish,1,ta-skazka-stranstvij,,,0,0,0,open,closed,2017-05-15
8656,"Дилижанс-Трэвел (пункт выдачи заказов и продажа сим-карт)","[us_gallery ids=""12157"" layout=""masonry"" columns=""6""]",,2015-10-09,wpsl_stores,https://euroroaming.ru/stores-by-operator/sim-karty-v-saratove/,https://euroroaming.ru/wp-content/uploads/2015/11/ofisnyj-centr-torgovogo-kompleksa-mir-tumb.jpg,Дилижанс-Трэвел,,Дилижанс-Трэвел,Дилижанс-Трэвел,,GLOBALSIM|GLOBALSIM-Internet|Orange|Ortel|Vodafone,,"ул. Московская, д. 113 (6 этаж, 7 офис)",Саратов,Россия,51.490516,46.130463,RU,"7 (8452) 279794, 7 (8452) 278797, 7 (8452) 736555",,"a:7:{s:6:""monday"";a:1:{i:0;s:11:""10:00,19:00"";}s:7:""tuesday"";a:1:{i:0;s:11:""10:00,19:00"";}s:9:""wednesday"";a:1:{i:0;s:11:""10:00,19:00"";}s:8:""thursday"";a:1:{i:0;s:11:""10:00,19:00"";}s:6:""friday"";a:1:{i:0;s:11:""10:00,19:00"";}s:8:""saturday"";a:1:{i:0;s:11:""10:00,15:00"";}s:6:""sunday"";a:0:{}}","Сим-карты европейских операторов в Саратове - Евророуминг","Офис самовывоза роуминговых сим-карт в Саратове. Карты в наличии: Orange, Ortel, Vodafone. Уточнить наличие, адрес, время работы: 7 (8452) 279794, 7 (8452) 278797, 7 (8452) 736555",dilizhans-trevel-ooo-dilizhans-trevel,"8-800-555-2834, +7(499)322-10-28",false,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,none,,0,0,0,,"a:1:{i:0;s:1:""0"";}",,97,"a:1:{i:0;s:1:""0"";}","a:1:{i:0;s:15:""Default Sidebar"";}",30,[],сим-карт,,26,сим-карт,1,,145,,http://www.diligen-travel.ru,,,,,,,,,,,,publish,1,sim-karty-v-saratove,,,0,0,0,open,closed,2017-05-12
8658,"Турагентство Имидж-тур (пункт выдачи заказов и продажа сим-карт)","[us_gallery ids=""12160"" layout=""masonry"" columns=""6""]",,2015-10-09,wpsl_stores,https://euroroaming.ru/stores-by-operator/sim-karty-v-voronezhe-na-fr-ehngelsa/,https://euroroaming.ru/wp-content/uploads/2015/11/voronezh-fr-ehngelsa-12-tumb.jpg,"Турагентство Имидж-тур",,"Турагентство Имидж-тур","Турагентство Имидж-тур",,GLOBALSIM|Orange|Ortel,,"Фр. Энгельса 12",Воронеж,Россия,51.676652,39.209526,RU,"7 473 255-91-40, 7 473 255-91-41, 7 473 255-91-42",,"a:7:{s:6:""monday"";a:1:{i:0;s:11:""10:00,18:00"";}s:7:""tuesday"";a:1:{i:0;s:11:""10:00,18:00"";}s:9:""wednesday"";a:1:{i:0;s:11:""10:00,18:00"";}s:8:""thursday"";a:1:{i:0;s:11:""10:00,18:00"";}s:6:""friday"";a:1:{i:0;s:11:""10:00,18:00"";}s:8:""saturday"";a:0:{}s:6:""sunday"";a:0:{}}","Сим-карты европейских операторов в Воронеже - Евророуминг","Офис самовывоза роуминговых сим-карт в Воронеже. Карты в наличии: Orange, Ortel, Vodafone. Уточнить наличие, адрес, время работы: 7 473 255-91-40, 7 473 255-91-41, 7 473 255-91-42",imidzh-tur-ooo-imidzh-tur,"8-800-555-2834, +7(499)322-10-28",false,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,none,,0,0,0,,"a:1:{i:0;s:1:""0"";}",,97,"a:1:{i:0;s:1:""0"";}","a:1:{i:0;s:15:""Default Sidebar"";}",30,[],сим-карт,,26,сим-карт,,,907,,http://www.image-tur.ru,,,,,,,,,,,,publish,1,sim-karty-v-voronezhe-na-fr-ehngelsa,,,0,0,0,open,closed,2017-05-12
8660,"KINGS TRAVEL GROUP (пункт выдачи заказов и продажа сим-карт)",,,2015-10-09,wpsl_stores,https://euroroaming.ru/stores-by-operator/sim-karty-v-surgute/,https://euroroaming.ru/wp-content/uploads/2015/10/IMG_0131-min.jpg,img_0131-min,,,,,GLOBALSIM|GLOBALSIM-Internet|Orange,,"ул. И. Каролинского, 14/1, 3 этаж, офис 2-1",Сургут,Россия,61.250801,73.452512,RU,"73462962384, 73462962374",,"a:7:{s:6:""monday"";a:1:{i:0;s:11:""10:00,19:00"";}s:7:""tuesday"";a:1:{i:0;s:11:""10:00,19:00"";}s:9:""wednesday"";a:1:{i:0;s:11:""10:00,19:00"";}s:8:""thursday"";a:1:{i:0;s:11:""10:00,19:00"";}s:6:""friday"";a:1:{i:0;s:11:""10:00,19:00"";}s:8:""saturday"";a:1:{i:0;s:11:""10:00,17:00"";}s:6:""sunday"";a:0:{}}","Сим-карты европейских операторов в Сургуте - Евророуминг","Офис самовывоза роуминговых сим-карт в Сургуте. Карты в наличии: Orange, Ortel, Vodafone. Уточнить наличие, адрес, время работы: 73462962384, 73462962374",kings-travel-group-ooo-kings-trevel-grup,"8-800-555-2834, +7(499)322-10-28",false,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,,,0,,,,,,97,,,30,[],Сим-карты,,31,Сим-карты,,,1472,,http://www.kingstravel.club/,,,,,,,,,,,,publish,1,sim-karty-v-surgute,,,0,0,0,open,closed,2017-05-15
8662,"АдельВояж (пункт выдачи и продажи сим-карт)",,,2015-10-09,wpsl_stores,https://euroroaming.ru/stores-by-operator/sim-karty-v-tolyatti-40-let-pobedy/,,,,,,,GLOBALSIM|GLOBALSIM-Internet|Orange|Ortel|Vodafone,,"ул.40 лет Победы, д.6",Тольятти,Россия,53.543467,49.36789,RU,"7(8482) 37 90 58, 79376655187",,"a:7:{s:6:""monday"";a:1:{i:0;s:11:""09:00,19:00"";}s:7:""tuesday"";a:1:{i:0;s:11:""09:00,19:00"";}s:9:""wednesday"";a:1:{i:0;s:11:""09:00,19:00"";}s:8:""thursday"";a:1:{i:0;s:11:""09:00,19:00"";}s:6:""friday"";a:1:{i:0;s:11:""09:00,19:00"";}s:8:""saturday"";a:0:{}s:6:""sunday"";a:0:{}}","Сим-карты европейских операторов в Тольятти - Евророуминг","Офис самовывоза роуминговых сим-карт в Тольятти. Карты в наличии: Orange, Ortel, Vodafone. Уточнить наличие, адрес, время работы: 7(8482) 37 90 58, 79376655187",adelvoyazh-ooo-adelvoyazh|sim-karty-v-tolyatti-2,"8-800-555-2834, +7(499)322-10-28",false,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,,,,,,,,,97,,,30,[],Сим-карты,,17,Сим-карты,1,,3090,,http://www.adelv.ru,,,,,,,,,,,,publish,1,sim-karty-v-tolyatti-40-let-pobedy,,,0,0,0,open,closed,2017-05-12
8664,"ТА ""Ариадна М"" (пункт выдачи заказов и продажа сим-карт)",,,2015-10-09,wpsl_stores,https://euroroaming.ru/stores-by-operator/ta-ariadna-m/,https://euroroaming.ru/wp-content/uploads/2015/10/28-min.jpg,28-min,,,,,Orange,,"ул. Машиностроителей, д.20",Воронеж,Россия,51.681169,39.163105,RU,8-473-222-17-19,,"a:7:{s:6:""monday"";a:1:{i:0;s:11:""09:00,19:00"";}s:7:""tuesday"";a:1:{i:0;s:11:""09:00,19:00"";}s:9:""wednesday"";a:1:{i:0;s:11:""09:00,19:00"";}s:8:""thursday"";a:1:{i:0;s:11:""09:00,19:00"";}s:6:""friday"";a:1:{i:0;s:11:""09:00,19:00"";}s:8:""saturday"";a:0:{}s:6:""sunday"";a:0:{}}","Сим-карты европейских операторов в Воронеже - Евророуминг","Офис самовывоза роуминговых сим-карт в Воронеже. Карты в наличии: Orange, Ortel. Уточнить наличие, адрес, время работы: 8-473-222-17-19, 8-473-222-17-41",ariadna|sim-karty-v-voronezhe-gipermarket-liniya,"8-800-555-2834, +7(499)322-10-28",false,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,,,0,,,,,,97,,,30,[],сим-карт,,33,сим-карт,,,3047,,http://ariadna-tur.com,,,,,,,,,,,,publish,1,ta-ariadna-m,,,0,0,0,open,closed,2017-05-12
8666,"Турагентство Ариадна","[us_gallery ids=""12145,12148,12147"" layout=""masonry"" columns=""6""]",,2015-10-09,wpsl_stores,https://euroroaming.ru/stores-by-operator/sim-karty-v-voronezhe-kominternovskij-rajon/,https://euroroaming.ru/wp-content/uploads/2015/11/ofis-v-voronezhe-na-ul-perevertkina-tumb.jpg,"Турагентство Ариадна",,"Турагентство Ариадна","Турагентство Ариадна",,Orange|Ortel,,"ул. Переверткина, д.26",Воронеж,Россия,51.688222,39.259675,RU,"8-473-575-443, +7-900-924-58-04, 8(900)924-58-03",,"a:7:{s:6:""monday"";a:1:{i:0;s:11:""10:00,19:00"";}s:7:""tuesday"";a:1:{i:0;s:11:""10:00,19:00"";}s:9:""wednesday"";a:1:{i:0;s:11:""10:00,19:00"";}s:8:""thursday"";a:1:{i:0;s:11:""10:00,19:00"";}s:6:""friday"";a:1:{i:0;s:11:""10:00,19:00"";}s:8:""saturday"";a:0:{}s:6:""sunday"";a:0:{}}","Сим-карты европейских операторов в Воронеже - Евророуминг","Офис самовывоза роуминговых сим-карт в Воронеже. Карты в наличии: Orange, Ortel. Уточнить наличие, адрес, время работы: 8-473-575-443, +7-900-924-58-04",ariadna-2,"8-800-555-2834, +7(499)322-10-28",false,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,none,,0,0,0,,"a:1:{i:0;s:1:""0"";}",,,"a:1:{i:0;s:1:""0"";}","a:1:{i:0;s:15:""Default Sidebar"";}",30,[],сим-карт,,32,сим-карт,,,3047,,http://ariadna-tur.com,,,,,,,,,,,,publish,1,sim-karty-v-voronezhe-kominternovskij-rajon,,,0,0,0,open,closed,2017-05-12
