ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL",Status,Author,Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
18467,"zone1 (Владимир)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-vladimir/,,,,,,,publish,312,zone1-vladimir,,,0,0,0,open,open,2016-03-18
18468,"zone1 (Владимирская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-vladimirskaya-oblast-rossiya/,,,,,,,publish,312,zone1-vladimirskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18469,"zone1 (Иваново)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-ivanovo/,,,,,,,publish,312,zone1-ivanovo,,,0,0,0,open,open,2016-03-18
18470,"zone1 (Ивановская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-ivanovskaya-oblast-rossiya/,,,,,,,publish,312,zone1-ivanovskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18471,"zone1 (Калуга)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-kaluga/,,,,,,,publish,312,zone1-kaluga,,,0,0,0,open,open,2016-03-18
18472,"zone1 (Калужская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-kaluzhskaya-oblast-rossiya/,,,,,,,publish,312,zone1-kaluzhskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18473,"zone1 (Кострома)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-kostroma/,,,,,,,publish,312,zone1-kostroma,,,0,0,0,open,open,2016-03-18
18474,"zone1 (Костромская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-kostromskaya-oblast-rossiya/,,,,,,,publish,312,zone1-kostromskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18475,"zone1 (Нижний Новгород)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-nizhnij-novgorod/,,,,,,,publish,312,zone1-nizhnij-novgorod,,,0,0,0,open,open,2016-03-18
18476,"zone1 (Нижегородская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-nizhegorodskaya-oblast-rossiya/,,,,,,,publish,312,zone1-nizhegorodskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18477,"zone1 (Рязань)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-ryazan/,,,,,,,publish,312,zone1-ryazan,,,0,0,0,open,open,2016-03-18
18478,"zone1 (Рязанская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-ryazanskaya-oblast-rossiya/,,,,,,,publish,312,zone1-ryazanskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18479,"zone1 (Тверь)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-tver/,,,,,,,publish,312,zone1-tver,,,0,0,0,open,open,2016-03-18
18480,"zone1 (Тверская область, Россия)",,,2016-03-18,was,https://euroroaming.ru/was/zone1-tverskaya-oblast-rossiya/,,,,,,,publish,312,zone1-tverskaya-oblast-rossiya,,,0,0,0,open,open,2016-03-18
18481,"zone2 (Брянск)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-bryansk/,,,,,,,publish,312,zone2-bryansk,,,0,0,0,open,open,2016-03-18
18482,"zone2 (Белгородская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-belgorodskaya-oblast/,,,,,,,publish,312,zone2-belgorodskaya-oblast,,,0,0,0,open,open,2016-03-18
18483,"zone2 (Брянская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-bryanskaya-oblast/,,,,,,,publish,312,zone2-bryanskaya-oblast,,,0,0,0,open,open,2016-10-05
18484,"zone2 (Белгород)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-belgorod/,,,,,,,publish,312,zone2-belgorod,,,0,0,0,open,open,2016-10-05
18485,"zone2 (Великий Новгород)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-velikij-novgorod/,,,,,,,publish,312,zone2-velikij-novgorod,,,0,0,0,open,open,2016-03-18
18486,"zone2 (Новгородская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-novgorodskaya-oblast/,,,,,,,publish,312,zone2-novgorodskaya-oblast,,,0,0,0,open,open,2016-03-18
18487,"zone2 (Вологда)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-vologda/,,,,,,,publish,312,zone2-vologda,,,0,0,0,open,open,2016-03-18
18488,"zone2 (Вологодская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-vologodskaya-oblast/,,,,,,,publish,312,zone2-vologodskaya-oblast,,,0,0,0,open,open,2016-03-18
18489,"zone2 (Воронеж)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-voronezh/,,,,,,,publish,312,zone2-voronezh,,,0,0,0,open,open,2016-03-18
18490,"zone2 (Воронежская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-voronezhskaya-oblast/,,,,,,,publish,312,zone2-voronezhskaya-oblast,,,0,0,0,open,open,2016-03-18
18491,"zone2 (Курская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-kurskaya-oblast/,,,,,,,publish,312,zone2-kurskaya-oblast,,,0,0,0,open,open,2016-03-18
18492,"zone2 (Курск)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-kursk/,,,,,,,publish,312,zone2-kursk,,,0,0,0,open,open,2016-03-18
18493,"zone2 (Липецкая область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-lipetskaya-oblast/,,,,,,,publish,312,zone2-lipetskaya-oblast,,,0,0,0,open,open,2016-03-18
18494,"zone2 (Липецк)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-lipetsk/,,,,,,,publish,312,zone2-lipetsk,,,0,0,0,open,open,2016-03-18
18495,"zone2 (Орел)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-orel/,,,,,,,publish,312,zone2-orel,,,0,0,0,open,open,2016-06-09
18496,"zone2 (Орловская область)",,,2016-03-18,was,https://euroroaming.ru/was/zone2-orlovskaya-oblast/,,,,,,,publish,312,zone2-orlovskaya-oblast,,,0,0,0,open,open,2016-06-09
